,Gene,Paper_ID,Classification,EC_numbers,Reaction_Group,Title,Organism
101,ACC1,14750,Positive,['6.4.1.2'],ACCOAC_1,Establishment of Saccharomyces cerevisiae as a cell factory for efficient de novo production of monogalactosyldiacylglycerol.,['Saccharomyces cerevisiae']
102,ACC1,15461,Positive,['6.4.1.2'],ACCOAC_1,Substrate-dependent lipid and β-carotene production in engineered Yarrowia lipolytica: a comparative study.,['Yarrowia lipolytica']
103,ACC1,15911,Positive,['6.4.1.2'],ACCOAC_1,A versatile genetic toolkit for engineering <i>Wickerhamomyces ciferrii</i> for tetraacetyl phytosphingosine production.,['Wickerhamomyces ciferrii']
104,ACC1,15943,Positive,['6.4.1.2'],ACCOAC_1,Modular deregulation of central carbon metabolism for efficient xylose utilization in Saccharomyces cerevisiae.,['Saccharomyces cerevisiae']
105,ACH1,1101,Negative,['3.1.2.1'],FACOAE60_1,Regulation of xylose metabolism in recombinant Saccharomyces cerevisiae.,['Saccharomyces cerevisiae']
106,ACH1,3508,Positive,['3.1.2.1'],FACOAE60_1,Transcription analysis of recombinant industrial and laboratory Saccharomyces cerevisiae strains reveals the molecular basis for fermentation of glucose and xylose.,['Saccharomyces cerevisiae']
107,ACH1,4403,Negative,['3.1.2.1'],FACOAE60_1,Ach1 is involved in shuttling mitochondrial acetyl units for cytosolic C2 provision in Saccharomyces cerevisiae lacking pyruvate decarboxylase.,['Saccharomyces cerevisiae']
108,ACH1,4403,Positive,['3.1.2.1'],FACOAE60_1,Ach1 is involved in shuttling mitochondrial acetyl units for cytosolic C2 provision in Saccharomyces cerevisiae lacking pyruvate decarboxylase.,['Saccharomyces cerevisiae']
109,ACH1,7576,Positive,['3.1.2.1'],FACOAE60_1,First aspects on acetate metabolism in the yeast Dekkera bruxellensis: a few keys for improving ethanol fermentation.,['Saccharomyces cerevisiae']
110,ACIAD2837,1955,Negative,['2.7.1.107'],DAGK120_1,Improved triacylglycerol production in Acinetobacter baylyi ADP1 by metabolic engineering.,['Acinetobacter baylyi']
111,ACIAD2837,1955,Negative,['2.7.1.107'],DAGK141_1,Improved triacylglycerol production in Acinetobacter baylyi ADP1 by metabolic engineering.,['Acinetobacter baylyi']
112,ACIAD2837,1955,Negative,['2.7.1.107'],DAGK160_1,Improved triacylglycerol production in Acinetobacter baylyi ADP1 by metabolic engineering.,['Acinetobacter baylyi']
113,ACIAD2837,1955,Negative,['2.7.1.107'],DAGK161_1,Improved triacylglycerol production in Acinetobacter baylyi ADP1 by metabolic engineering.,['Acinetobacter baylyi']
114,ACIAD2837,1955,Negative,['2.7.1.107'],DAGK181_1,Improved triacylglycerol production in Acinetobacter baylyi ADP1 by metabolic engineering.,['Acinetobacter baylyi']
