,Title,Organism,EC_gene
227,Novel food-grade plasmid vector based on melibiose fermentation for the genetic engineering of Lactococcus lactis.,['Lactococcus lactis'],"{'galA': {'EC_numbers': ['2.7.1.6'], 'Classified_Modifications': [{'mod': 'mutants', 'class': 'Other'}]}}"
230,The albonoursin gene Cluster of S noursei biosynthesis of diketopiperazine metabolites independent of nonribosomal peptide synthetases.,['Streptomyces noursei'],"{'albC': {'EC_numbers': ['2.3.2.20'], 'Classified_Modifications': [{'mod': 'remov', 'class': 'Negative'}]}}"
231,Synthesis of GDP-mannose and mannosylglycerate from labeled mannose by genetically engineered Escherichia coli without loss of specific isotopic enrichment.,['Escherichia coli'],"{'cpsB': {'EC_numbers': ['2.7.7.22', '2.7.7.13'], 'Classified_Modifications': [{'mod': 'delet', 'class': 'Negative'}, {'mod': 'delet', 'class': 'Negative'}, {'mod': 'introduc', 'class': 'Positive'}]}, 'cmr': {'EC_numbers': ['2.3.1.28'], 'Classified_Modifications': [{'mod': 'delet', 'class': 'Negative'}]}, 'galU': {'EC_numbers': ['2.7.7.9'], 'Classified_Modifications': [{'mod': 'mutat', 'class': 'Other'}]}, 'cpsG': {'EC_numbers': ['5.4.2.2', '5.4.2.10', '5.4.2.8'], 'Classified_Modifications': [{'mod': 'delet', 'class': 'Negative'}, {'mod': 'delet', 'class': 'Negative'}, {'mod': 'introduc', 'class': 'Positive'}]}, 'manA': {'EC_numbers': ['5.3.1.8'], 'Classified_Modifications': [{'mod': 'delet', 'class': 'Negative'}, {'mod': 'delet', 'class': 'Negative'}]}}"
232,Production of optically pure D-lactic acid in mineral salts medium by metabolically engineered Escherichia coli W3110.,['Escherichia coli'],"{'ackA': {'EC_numbers': ['2.7.2.15', '2.7.2.1'], 'Classified_Modifications': [{'mod': 'mutat', 'class': 'Other'}]}}"
234,Total biosynthesis of hydrocortisone from a simple carbon source in yeast.,['Saccharomyces cerevisiae'],"{'GCY1': {'EC_numbers': ['1.1.1.156'], 'Classified_Modifications': [{'mod': 'modulat', 'class': 'Other'}]}, 'ATF2': {'EC_numbers': ['2.3.1.84'], 'Classified_Modifications': [{'mod': 'modulat', 'class': 'Other'}]}}"
238,UDP-galactose 4-epimerase: a key enzyme in exopolysaccharide formation by Lactobacillus casei CRL 87 in controlled pH batch cultures.,['Lactobacillus casei'],"{'galE': {'EC_numbers': ['5.1.3.2'], 'Classified_Modifications': [{'mod': 'mutant', 'class': 'Other'}, {'mod': 'inactivat', 'class': 'Negative'}]}}"
239,Modification of biologically active peptides: production of a novel lipohexapeptide after engineering of Bacillus subtilis surfactin synthetase.,['Bacillus subtilis'],"{'apr': {'EC_numbers': ['3.4.21.62'], 'Classified_Modifications': [{'mod': 'express', 'class': 'Positive'}]}}"
243,Engineering the metabolism of Escherichia coli W3110 for the conversion of sugar to redox-neutral and oxidized products: homoacetate production.,['Escherichia coli'],"{'atpH': {'EC_numbers': ['3.6.3.14'], 'Classified_Modifications': [{'mod': 'remov', 'class': 'Negative'}]}, 'sucA': {'EC_numbers': ['1.2.4.2'], 'Classified_Modifications': [{'mod': 'disrupt', 'class': 'Negative'}]}}"
250,Engineering of carbon distribution between glycolysis and sugar nucleotide biosynthesis in Lactococcus lactis.,['Lactococcus lactis'],"{'ldh': {'EC_numbers': ['1.1.1.27'], 'Classified_Modifications': [{'mod': 'express', 'class': 'Positive'}]}, 'galU': {'EC_numbers': ['2.7.7.9'], 'Classified_Modifications': [{'mod': 'increas', 'class': 'Positive'}]}, 'glk': {'EC_numbers': ['2.7.1.2'], 'Classified_Modifications': [{'mod': 'engineer', 'class': 'Other'}, {'mod': 'increas', 'class': 'Positive'}, {'mod': 'overexpress', 'class': 'Positive'}]}, 'pgm': {'EC_numbers': ['5.4.2.2', '5.4.2.11'], 'Classified_Modifications': [{'mod': 'overexpress', 'class': 'Positive'}, {'mod': 'overexpress', 'class': 'Positive'}, {'mod': 'increas', 'class': 'Positive'}]}, 'ccpA': {'EC_numbers': ['1.11.1.5'], 'Classified_Modifications': [{'mod': 'mutant', 'class': 'Other'}, {'mod': 'disrupt', 'class': 'Negative'}, {'mod': 'mutat', 'class': 'Other'}]}}"
255,"The effect of NAPRTase overexpression on the total levels of NAD, the NADH/NAD+ ratio, and the distribution of metabolites in Escherichia coli.",['Escherichia coli'],"{'pncB': {'EC_numbers': ['6.3.4.21'], 'Classified_Modifications': [{'mod': 'increas', 'class': 'Positive'}, {'mod': 'not increas', 'class': 'Negative'}, {'mod': 'overexpress', 'class': 'Positive'}, {'mod': 'overexpress', 'class': 'Positive'}]}}"
